,size,depth,sea_depth,school_seabed_distance,width_bbox,length_box,perimeter_school,intensity_school,dif_intensity_school_image,center_square_intensity,edges_school_intensity,dif_intensity_center_edges,std_intensity_school,gradient_school,gradient_school_center,gradient_school_edges,dif_gradient_center_edges,solidity,compactness,inertia_tensor_eigvals_ratio,thresh_max,thresh_min,center_x,center_y,night,area_school
0,559.0,39.738640429338105,41.9,2.1613595706618938,37,27,149.91168824543144,-74.45839294295628,10.890477668211686,-59.84212233278701,-77.7817147288027,17.93959239601569,6.439430210890558,340.21445324508113,344.00128831172736,338.5601435594818,5.441144752245577,0.7807262569832403,0.3125724391931302,0.5545991705183051,0.2,0.01,397.386404293381,57.1824686940966,1,2679.6306584475506
1,558.0,26.848924731182798,42.4,15.551075268817199,13,122,254.7756492761104,-73.5082870169947,11.064534376421976,-64.82880735940324,-77.0469054327381,12.218098073334858,4.413228526618762,257.89957051717226,253.0011539350316,260.8086987225452,7.807544787513564,0.7342105263157894,0.10802598348922987,0.0026436620130998747,0.19,0.09,268.48924731182797,10.591397849462366,1,2407.4095523544893
2,29.0,21.56206896551724,41.8,20.237931034482763,2,18,28.207106781186546,-78.63800115007098,6.806444729008206,-72.28364643361427,-78.63800115007098,6.354354716456727,5.014514031918568,215.2419489025434,212.50107844127857,215.2419489025434,2.7408704612648482,0.8787878787878788,0.4580266803768486,0.009930552044694244,0.18,0.06,215.6206896551724,0.3793103448275862,1,118.63440922391308
3,2691.0,36.33920475659607,41.0,4.660795243403938,70,99,664.9310242291876,-75.12365688064708,8.824649998013157,-52.61343493072911,-78.70041807451791,26.086983143788785,6.880386525727332,278.9873159004617,330.00073589593995,268.147833755516,61.85290214042402,0.6515738498789346,0.07648396049008635,0.1816993834762672,0.19,0.01,363.3920475659606,84.42400594574508,1,15337.8286921162
4,21.0,15.957142857142859,39.5,23.54285714285714,2,13,20.207106781186546,-77.4047535015308,7.347872300510887,-74.36728718286551,-77.4047535015308,3.0374663186652957,4.3793497501161935,84.19193675005651,86.50299767341293,84.19193675005651,2.311060923356422,0.9130434782608696,0.6462802523718411,0.02002231624322608,0.16,0.08,159.57142857142858,75.38095238095238,1,79.72262535497711
5,20.0,25.215,39.8,14.584999999999996,3,15,18.0,-77.46153023589379,7.2910955661479315,-76.5227195821532,-77.46153023589379,0.9388106537405604,2.713127252152697,187.10090359379933,190.50131321630482,187.10090359379933,3.400409622505464,0.625,0.7757018897752576,0.010127575138470646,0.16,0.08,252.15,65.05,1,94.02131284962836
6,3522.0,9.224162407722883,39.9,30.67583759227711,52,99,522.3685783886737,-72.81697735814012,9.837859616955784,-63.02639367419618,-79.65807617529424,16.631682501098076,5.571141179696445,22.12237439426709,18.023296415971505,32.779186215027536,14.755889799056039,0.8670605612998523,0.1621978619185952,0.3177750012884731,0.19,0.02,92.24162407722885,99.5099375354912,1,15104.857122342779
7,330.0,37.89393939393939,41.3,3.4060606060606062,10,49,111.73401871576773,-69.21918864488029,15.095311866145522,-56.12369786518156,-76.69382374947304,20.570125884291485,8.206311735432061,365.9776978257762,365.0008743624937,364.1772886006945,0.8235857617992224,0.8312342569269522,0.33216430875779995,0.030851480158808925,0.18,0.04,378.93939393939394,12.963636363636363,1,1422.3709123376714
8,437.0,38.91533180778032,41.5,2.5846681922196812,32,52,220.01828996322965,-73.49710778169762,10.817392729328189,-56.89390426481263,-76.25690189148263,19.36299762667,5.769286056761588,304.03929833624903,305.0010672357846,300.81738815770507,4.183679078079535,0.4482051282051282,0.11344196253767964,0.3109433091339988,0.18,0.04,389.1533180778032,85.12356979405034,1,4377.955643709288
9,356.0,38.50674157303371,41.4,2.893258426966291,16,36,107.42031021678295,-73.79830477159273,10.516195739433073,-65.59442338770901,-77.50033098762529,11.905907599916274,4.083217954322863,344.8040348627803,339.00065553040434,342.8600615472538,3.8594060168495616,0.7739130434782608,0.3876921946722674,0.11577964045799327,0.18,0.04,385.0674157303371,40.26685393258427,1,1547.8633932796288
